method,Accuracy,F1 Score,Precision,Recall,average_abs_odds_difference_race,average_abs_odds_difference_sex,balanced_acc,between_all_groups_theil_index_race,between_all_groups_theil_index_sex,between_group_coefficient_of_variation_race,between_group_coefficient_of_variation_sex,between_group_generalized_entropy_index_race,between_group_generalized_entropy_index_sex,coefficient_of_variation_race,coefficient_of_variation_sex,equal_opportunity_difference_race,equal_opportunity_difference_sex,generalized_entropy_index_race,generalized_entropy_index_sex,theil_index_race,theil_index_sex,true_positive_rate_difference_race,true_positive_rate_difference_sex
full_log,0.6701316701316701,0.663614716997778,0.6721899651747653,0.6701316701316701,0.09640894545134784,0.2542354263968172,0.6596859195446743,2.391897840043851e-05,0.002636553618063133,0.009773316476352168,0.10058915443093526,2.3879428736734187e-05,0.002529544497282636,0.8914989293888014,0.8914989293888014,0.14082265982057213,-0.35156028368794323,0.19869258527534475,0.19869258527534475,0.2845201860828657,0.2845201860828657,0.14082265982057213,-0.35156028368794323
full_gbr,0.6742896742896742,0.6696414924026866,0.6749229795906101,0.6742896742896742,0.10028358201082428,0.2100112437294586,0.6654267906027189,5.4767879877411625e-05,0.0014058282558296017,0.014782490987210233,0.07387589633704003,5.4630509946737944e-05,0.0013644120149002713,0.8719180944263848,0.8719180944263848,0.13135473678271176,-0.299290780141844,0.19006029084703452,0.19006029084703452,0.2709357227109407,0.2709357227109407,0.13135473678271176,-0.299290780141844
unaware_log,0.6722106722106722,0.6659410820127544,0.6741964205316073,0.6722106722106722,0.12443814211195937,0.1104826154644525,0.6619449556892525,0.00023526401624164331,0.00010135315296014716,0.030596171746560364,0.020056005655703334,0.00023403143138625465,0.00010056084071540102,0.8871309455690239,0.8871309455690239,0.16956497207019128,-0.15673758865248222,0.19675032864654762,0.19675032864654762,0.28179814857657526,0.28179814857657526,0.16956497207019128,-0.15673758865248222
unaware_gbr,0.6715176715176715,0.6663440793922877,0.6724308107109308,0.6715176715176715,0.11888622283959892,0.11514357377616331,0.6621924153610591,0.00018440890306873326,0.00013215871610519384,0.02709649411379421,0.02288914637204633,0.00018355499831472106,0.00013097825541024042,0.8797107171308488,0.8797107171308488,0.15629408113750487,-0.1591489361702128,0.19347273645871807,0.19347273645871807,0.27601107831160854,0.27601107831160854,0.15629408113750487,-0.1591489361702128
cf1_log,0.5398475398475399,0.38098943322400836,0.5215713923149642,0.5398475398475399,0.005489043216451507,0.005739491437467566,0.5002223270488887,0.004688100474225507,0.0024867521205022584,0.13840216389621027,0.10159885805258576,0.004788789742788362,0.002580581989397367,1.3056236038445037,1.3056236038445037,0.0041753653444676405,0.008226950354609928,0.42616324872897743,0.42616324872897743,0.6148878445483803,0.6148878445483803,0.0041753653444676405,0.008226950354609928
cf1_gbr,0.5564795564795565,0.5173693596146604,0.5508718267338957,0.5564795564795565,0.03940665766757802,0.014577927694170559,0.5340798366766166,0.000895243231466254,0.0007403588004593816,0.06013281231426397,0.05498187395929329,0.0009039887792056241,0.0007557516160189033,1.1591269009842267,1.1591269009842267,0.06599334198499124,-0.003546099290780147,0.3358937931463243,0.3358937931463243,0.4626051806413172,0.4626051806413172,0.06599334198499124,-0.003546099290780147
cf2_log,0.6292446292446292,0.6267588046908533,0.6275217972508313,0.6292446292446292,0.08654061583566167,0.12658190624459437,0.6228173283635182,7.084659046140764e-07,0.000167453332183809,0.0016831697500738544,0.02575023470995956,7.082651018909203e-07,0.0001657686469045015,0.9038583299689564,0.9038583299689564,0.08468092309428427,-0.1556028368794326,0.20423997016356774,0.20423997016356774,0.2856609833230103,0.2856609833230103,0.08468092309428427,-0.1556028368794326
cf2_gbr,0.571032571032571,0.5715581277478874,0.5760532684365807,0.571032571032571,0.04112533528597309,0.07715187683791727,0.573015102773095,0.00023937751081469985,8.57349412059693e-06,0.03102286419755259,0.005862722291500334,0.00024060452575494758,8.592878166813732e-06,0.8711772863848842,0.8711772863848842,0.012063420414151094,-0.09170212765957442,0.18973746607823264,0.18973746607823264,0.262120358101202,0.262120358101202,0.012063420414151094,-0.09170212765957442
cf3_log,0.5398475398475399,0.38098943322400836,0.5215713923149642,0.5398475398475399,0.005489043216451507,0.005739491437467566,0.5002223270488887,0.004688100474225507,0.0024867521205022584,0.13840216389621027,0.10159885805258576,0.004788789742788362,0.002580581989397367,1.3056236038445037,1.3056236038445037,0.0041753653444676405,0.008226950354609928,0.42616324872897743,0.42616324872897743,0.6148878445483803,0.6148878445483803,0.0041753653444676405,0.008226950354609928
cf3_gbr,0.5571725571725572,0.5179089873595367,0.5518776722008062,0.5571725571725572,0.041107337939686864,0.013764919564089262,0.534721685200365,0.0008431042360283338,0.0007581771593522722,0.05834738069972585,0.0556462668330227,0.0008511042086296851,0.0007741267531129906,1.1586309687474239,1.1586309687474239,0.06599334198499124,-0.003546099290780147,0.33560643043514854,0.33560643043514854,0.46241822909209823,0.46241822909209823,0.06599334198499124,-0.003546099290780147
AL,0.6638946638946639,0.6602925322246915,0.6633294243640603,0.6638946638946639,0.11752352676744127,0.25066338003805566,0.6561325533198261,0.0001655279686502248,0.0024386386353132026,0.02567506939381549,0.09682004335181923,0.00016480229709431022,0.002343530198662039,0.8751411630064155,0.8751411630064155,0.14511087287705238,-0.3281560283687943,0.19146801379705541,0.19146801379705541,0.2709004374680404,0.2709004374680404,0.14511087287705238,-0.3281560283687943
GGbr,0.674982674982675,0.672368276024583,0.674292430672941,0.674982674982675,0.07596651613934184,0.11241134751773049,0.6682919096153549,3.708658567962379e-07,0.00011136167076711243,0.001218099832694077,0.0210189396827988,3.709418006023346e-07,0.00011044895634728353,0.85108698053895,0.85108698053895,0.0981775094509959,-0.15815602836879433,0.18108726211072676,0.18108726211072676,0.2559710592321106,0.2559710592321106,0.0981775094509959,-0.15815602836879433
GL,0.6791406791406791,0.6735263291834453,0.681001264138519,0.6791406791406791,0.11781561014668157,0.1176483307386265,0.6693639126467359,0.0001873641879415511,0.00014583129911918195,0.027312237677987884,0.024038523157232813,0.00018648958174472525,0.00014446264889520456,0.8735520972379852,0.8735520972379852,0.15838176380973878,-0.17269503546099285,0.19077331664722058,0.19077331664722058,0.273511502254621,0.273511502254621,0.15838176380973878,-0.17269503546099285
GGbr,0.674982674982675,0.672368276024583,0.674292430672941,0.674982674982675,0.07596651613934184,0.11241134751773049,0.6682919096153549,3.708658567962379e-07,0.00011136167076711243,0.001218099832694077,0.0210189396827988,3.709418006023346e-07,0.00011044895634728353,0.85108698053895,0.85108698053895,0.0981775094509959,-0.15815602836879433,0.18108726211072676,0.18108726211072676,0.2559710592321106,0.2559710592321106,0.0981775094509959,-0.15815602836879433
GD,0.6638946638946639,0.6637971407188116,0.6637155642277038,0.6638946638946639,0.13016486097862676,0.13543764054661822,0.6614684024931562,0.00029284707585421104,0.0002391312690740907,0.03412520119599656,0.03074105893124397,0.0002911323391668112,0.00023625317605355367,0.8227206339863431,0.8227206339863431,0.14790949613496585,-0.18957446808510636,0.16921731039672258,0.16921731039672258,0.2348414284683822,0.2348414284683822,0.14790949613496585,-0.18957446808510636
