,c_charge_degree,age_cat,race,gender,score_text,priors_count,two_year_recid,MetaFair,GerryFair
1705,1,0,0,1,1,-0.6843577587219684,1,1,0.0
559,1,1,1,1,1,-0.2627521204695365,1,1,0.0
3448,1,0,0,1,1,0.36965633690911126,1,1,0.0
124,1,0,1,1,2,1.002064794287759,1,0,0.002004008016032064
1262,1,0,1,1,2,-0.2627521204695365,0,1,0.0
3228,0,1,1,1,0,3.320895804676134,0,0,1.0000000000000009
2678,0,0,1,1,2,-0.6843577587219684,1,1,0.0
4299,0,1,1,1,1,0.15885351778289533,0,0,0.002004008016032064
2984,1,2,1,1,1,-0.6843577587219684,1,1,0.0
4541,0,2,1,1,2,-0.6843577587219684,1,1,0.0
3965,0,0,1,1,2,-0.6843577587219684,0,1,0.0
1669,0,0,1,1,0,1.2128676134139749,0,0,0.364729458917836
1996,0,0,1,1,1,-0.4735549395957524,0,1,0.0
965,1,2,1,1,1,-0.6843577587219684,1,1,0.0
4312,1,0,0,0,1,-0.6843577587219684,0,1,0.0
3066,0,2,1,1,0,0.7912619751615431,1,0,0.7274549098196399
1495,0,0,1,1,0,0.36965633690911126,1,0,0.002004008016032064
2641,0,1,1,0,1,-0.6843577587219684,0,1,0.0
1399,1,0,1,1,1,-0.2627521204695365,0,1,0.0
1767,0,2,0,1,1,-0.6843577587219684,1,1,0.0
467,0,0,1,1,2,-0.05194930134332058,0,1,0.0
2402,0,2,0,1,2,-0.4735549395957524,1,1,0.0
1091,0,0,1,1,2,-0.2627521204695365,0,1,0.0
3357,0,2,1,0,0,-0.6843577587219684,1,1,0.0
5809,1,2,1,1,1,-0.6843577587219684,1,1,0.0
1155,0,1,0,1,2,2.899290166423702,1,0,0.9579158316633275
4001,1,2,1,0,0,-0.6843577587219684,1,1,0.0
1525,0,0,1,1,0,4.374909900307213,1,0,1.0000000000000009
4156,0,2,1,1,2,-0.05194930134332058,1,0,0.002004008016032064
2902,0,2,1,1,1,-0.2627521204695365,1,0,0.002004008016032064
882,1,0,1,1,0,-0.4735549395957524,1,1,0.0
1990,0,1,1,1,1,-0.6843577587219684,0,1,0.0
257,0,0,1,0,1,0.36965633690911126,0,1,0.0
214,0,0,1,0,1,-0.05194930134332058,0,1,0.0
1369,0,1,1,1,0,1.8452760707926226,0,0,0.9358717434869748
4604,1,0,0,1,0,-0.05194930134332058,0,1,0.0
1189,0,0,1,0,1,-0.2627521204695365,0,1,0.0
4742,0,2,1,1,2,-0.6843577587219684,1,1,0.0
1170,0,0,1,0,1,0.15885351778289533,0,1,0.0
1833,0,0,1,1,1,-0.05194930134332058,0,1,0.0
4119,0,0,1,1,2,-0.2627521204695365,1,1,0.0
4487,0,2,1,0,1,-0.6843577587219684,1,1,0.0
2066,0,1,0,1,1,-0.6843577587219684,0,1,0.0
2915,0,0,1,1,0,-0.6843577587219684,1,1,0.0
5314,1,1,0,1,2,-0.4735549395957524,1,1,0.0
1461,0,1,1,1,1,-0.4735549395957524,0,1,0.0
1519,1,0,0,1,1,0.15885351778289533,0,1,0.0
1831,0,0,1,1,1,-0.6843577587219684,0,1,0.0
834,0,0,1,0,1,-0.05194930134332058,0,1,0.0
5056,0,0,1,1,1,-0.4735549395957524,0,1,0.0
3927,0,1,1,1,1,0.15885351778289533,1,0,0.002004008016032064
1657,1,0,1,1,2,-0.2627521204695365,0,1,0.0
4846,0,2,0,1,1,-0.2627521204695365,1,0,0.002004008016032064
914,0,0,1,1,1,-0.6843577587219684,0,1,0.0
4096,0,0,0,1,0,0.5804591560353272,1,0,0.002004008016032064
3768,1,0,0,1,2,-0.05194930134332058,0,1,0.0
287,0,2,1,1,2,-0.4735549395957524,0,1,0.0
2805,0,2,0,1,0,-0.6843577587219684,1,1,0.0
5325,1,2,0,1,2,-0.4735549395957524,0,1,0.0
1547,0,2,1,1,2,-0.05194930134332058,1,0,0.002004008016032064
4014,0,2,0,1,2,-0.6843577587219684,0,1,0.0
5417,0,2,0,1,2,-0.4735549395957524,0,1,0.0
4097,1,2,1,1,2,-0.2627521204695365,1,1,0.0
5672,1,0,0,1,1,-0.2627521204695365,1,1,0.0
4181,0,0,1,0,1,-0.6843577587219684,0,1,0.0
4717,0,2,1,1,1,-0.6843577587219684,1,1,0.0
3373,0,0,1,1,0,-0.2627521204695365,1,1,0.0
3758,0,0,1,1,1,0.15885351778289533,0,1,0.0
994,1,0,0,1,1,-0.6843577587219684,0,1,0.0
3493,1,0,0,1,1,-0.2627521204695365,0,1,0.0
4972,0,0,1,1,2,3.320895804676134,1,0,0.9759519038076161
6102,0,1,1,1,2,0.15885351778289533,0,0,0.002004008016032064
878,0,0,0,1,1,-0.4735549395957524,0,1,0.0
863,1,1,1,1,1,-0.6843577587219684,0,1,0.0
4743,0,0,1,1,1,0.7912619751615431,0,0,0.024048096192384762
4618,0,0,0,1,1,-0.6843577587219684,0,1,0.0
1327,0,0,1,1,0,2.4776845281712703,1,0,0.9559118236472954
2455,0,0,1,1,1,-0.6843577587219684,0,1,0.0
5254,0,2,0,1,0,0.15885351778289533,0,0,0.05010020040080161
4847,0,0,1,1,1,-0.6843577587219684,0,1,0.0
12,0,0,1,1,1,0.7912619751615431,1,0,0.024048096192384762
2350,0,0,0,1,1,-0.2627521204695365,0,1,0.0
5085,1,0,0,1,2,-0.2627521204695365,0,1,0.0
6002,0,1,1,1,0,5.218121176812077,1,0,1.0000000000000009
4291,0,1,1,1,1,-0.2627521204695365,0,1,0.0
4927,0,2,1,1,1,-0.4735549395957524,0,0,0.002004008016032064
4983,0,0,1,1,2,0.36965633690911126,1,1,0.0
14,0,0,1,1,0,-0.05194930134332058,0,1,0.002004008016032064
2705,0,0,1,1,0,0.5804591560353272,1,0,0.038076152304609215
4518,0,0,1,1,1,-0.6843577587219684,0,1,0.0
5472,0,0,1,1,1,0.15885351778289533,1,1,0.0
5401,0,2,1,0,0,-0.2627521204695365,1,1,0.0
3890,0,1,1,0,1,-0.4735549395957524,1,1,0.0
4514,1,0,1,1,0,0.36965633690911126,1,1,0.0
5772,0,0,1,1,0,0.15885351778289533,0,0,0.002004008016032064
5479,1,0,1,1,1,0.15885351778289533,1,1,0.0
5546,0,0,1,1,1,1.002064794287759,0,0,0.18837675350701416
2772,0,0,0,1,2,2.899290166423702,1,0,0.9298597194388786
2228,0,0,1,1,2,2.899290166423702,1,0,0.9539078156312634
3719,0,0,0,1,1,-0.2627521204695365,0,1,0.0
143,1,0,1,1,1,-0.4735549395957524,1,1,0.0
3111,0,0,0,1,2,-0.6843577587219684,1,1,0.0
4614,0,0,0,1,1,-0.6843577587219684,1,1,0.0
3586,0,2,1,1,0,0.15885351778289533,0,0,0.25450901803607234
4586,1,0,0,1,1,-0.6843577587219684,0,1,0.0
1569,1,2,1,1,2,-0.6843577587219684,0,1,0.0
5919,0,0,1,1,0,2.0560788899188385,1,0,0.9238476953907824
3712,0,0,1,1,2,-0.6843577587219684,1,1,0.0
3058,1,0,1,1,1,-0.6843577587219684,0,1,0.0
3824,1,0,1,0,1,-0.6843577587219684,0,1,0.0
2464,0,1,0,1,1,-0.05194930134332058,0,1,0.0
1453,0,1,1,1,1,-0.4735549395957524,0,1,0.0
2617,0,2,1,1,0,-0.4735549395957524,1,0,0.002004008016032064
3536,0,2,1,1,2,-0.2627521204695365,0,0,0.002004008016032064
4046,0,1,0,1,1,-0.05194930134332058,0,1,0.0
5954,0,0,1,1,1,0.15885351778289533,1,1,0.0
5457,1,2,1,1,1,-0.6843577587219684,0,1,0.0
2534,1,0,1,1,1,-0.6843577587219684,0,1,0.0
4797,0,0,0,0,2,1.4236704325401908,1,0,0.002004008016032064
3439,1,0,1,1,1,-0.6843577587219684,0,1,0.0
170,1,0,0,0,1,-0.6843577587219684,0,1,0.0
3294,0,0,1,1,1,-0.6843577587219684,1,1,0.0
1386,0,0,1,1,2,1.002064794287759,1,0,0.008016032064128256
5570,0,0,1,1,2,0.36965633690911126,1,1,0.0
5219,0,1,1,1,1,-0.05194930134332058,0,0,0.002004008016032064
3653,1,2,1,0,1,-0.6843577587219684,0,1,0.0
4506,1,0,1,1,1,0.7912619751615431,0,0,0.002004008016032064
3885,0,2,0,1,2,-0.05194930134332058,1,0,0.0
3081,1,1,1,1,1,-0.4735549395957524,0,1,0.0
2477,0,2,1,1,0,0.15885351778289533,1,0,0.25450901803607234
3110,0,0,1,1,1,-0.6843577587219684,0,1,0.0
2247,0,0,0,1,2,-0.6843577587219684,0,1,0.0
2513,0,1,1,0,1,-0.6843577587219684,0,1,0.0
634,0,1,1,1,1,1.002064794287759,0,0,0.3446893787575153
1132,0,0,1,1,1,-0.6843577587219684,0,1,0.0
5660,0,0,1,1,1,-0.6843577587219684,0,1,0.0
3926,1,1,1,1,0,1.8452760707926226,1,0,0.8877755511022052
5220,0,2,1,1,2,1.002064794287759,1,0,0.44889779559118276
5080,1,0,1,1,1,-0.6843577587219684,0,1,0.0
311,1,1,0,0,1,-0.4735549395957524,1,1,0.0
4932,0,0,1,1,0,0.7912619751615431,0,0,0.19639278557114243
144,0,2,1,1,1,-0.6843577587219684,0,1,0.0
5711,1,2,1,0,1,-0.6843577587219684,0,1,0.0
979,0,2,1,1,0,-0.6843577587219684,1,0,0.002004008016032064
2346,0,0,1,0,1,-0.6843577587219684,0,1,0.0
134,0,0,1,1,1,-0.4735549395957524,0,1,0.0
4737,0,1,0,1,1,-0.6843577587219684,0,1,0.0
3954,0,0,1,1,1,-0.6843577587219684,0,1,0.0
247,0,2,0,1,2,-0.6843577587219684,1,1,0.0
629,0,0,0,1,2,3.9533042620547816,1,0,0.9899799599198406
4405,0,0,1,1,1,-0.4735549395957524,0,1,0.0
6071,0,0,1,0,2,-0.05194930134332058,1,1,0.0
5058,0,1,0,1,1,-0.4735549395957524,0,1,0.0
2888,1,0,1,0,1,-0.6843577587219684,0,1,0.0
2204,0,0,1,1,1,-0.4735549395957524,1,1,0.0
3829,0,1,1,1,0,3.9533042620547816,1,0,1.0000000000000009
4760,0,0,1,1,1,0.15885351778289533,1,1,0.0
593,1,0,1,1,2,1.4236704325401908,1,0,0.002004008016032064
3920,1,0,1,1,1,-0.2627521204695365,1,1,0.0
2643,0,2,1,1,2,-0.6843577587219684,1,1,0.0
142,0,0,0,1,2,-0.6843577587219684,0,1,0.0
3442,1,0,0,1,1,0.15885351778289533,0,1,0.0
1870,1,0,1,1,1,-0.6843577587219684,1,1,0.0
4257,1,0,1,1,1,-0.6843577587219684,1,1,0.0
1668,1,0,1,1,2,0.36965633690911126,0,1,0.0
4340,0,2,1,0,2,-0.6843577587219684,1,1,0.0
3718,0,2,1,1,0,-0.2627521204695365,1,0,0.002004008016032064
2087,1,0,1,1,1,-0.4735549395957524,0,1,0.0
1893,1,1,0,1,1,-0.6843577587219684,0,1,0.0
4442,0,2,1,1,0,0.36965633690911126,1,0,0.334669338677355
4302,0,1,0,0,0,5.218121176812077,1,0,1.0000000000000009
3766,0,0,1,1,2,-0.2627521204695365,1,1,0.0
3949,0,0,1,1,1,-0.6843577587219684,0,1,0.0
5892,1,0,1,1,0,1.002064794287759,1,0,0.002004008016032064
2172,0,1,1,1,2,-0.6843577587219684,1,1,0.0
3367,0,2,0,1,2,-0.4735549395957524,0,1,0.0
519,0,2,1,1,0,-0.6843577587219684,1,0,0.002004008016032064
3639,0,1,1,0,1,-0.6843577587219684,0,1,0.0
4446,1,0,1,1,0,0.15885351778289533,0,1,0.0
4810,0,1,0,1,2,-0.6843577587219684,1,1,0.0
4301,0,2,1,1,1,-0.6843577587219684,0,1,0.0
5642,0,2,0,1,1,-0.6843577587219684,0,1,0.0
2955,1,0,0,0,1,-0.6843577587219684,0,1,0.0
5105,0,2,1,1,0,-0.05194930134332058,1,0,0.13026052104208424
773,1,1,0,0,1,-0.6843577587219684,0,1,0.0
2618,1,0,0,1,1,-0.4735549395957524,0,1,0.0
1422,0,0,0,1,0,2.0560788899188385,1,0,0.8897795591182373
2842,0,2,1,1,1,-0.6843577587219684,1,1,0.0
2700,1,1,0,1,1,-0.05194930134332058,1,1,0.0
4068,0,2,0,1,1,-0.6843577587219684,0,1,0.0
472,0,2,1,1,2,-0.05194930134332058,1,0,0.002004008016032064
202,0,2,1,1,1,-0.6843577587219684,0,1,0.0
555,0,1,1,1,0,3.53169862380235,0,0,1.0000000000000009
4167,1,0,1,1,0,1.002064794287759,0,0,0.002004008016032064
443,0,0,0,1,1,0.15885351778289533,1,1,0.0
5890,0,0,1,1,2,-0.05194930134332058,0,1,0.0
502,1,0,1,1,1,-0.6843577587219684,0,1,0.0
3188,1,2,1,0,1,-0.6843577587219684,0,1,0.0
3010,0,1,0,1,1,-0.05194930134332058,0,1,0.0
1687,1,1,0,1,1,-0.4735549395957524,1,1,0.0
4820,0,0,0,1,1,-0.6843577587219684,0,1,0.0
499,0,0,1,1,1,-0.4735549395957524,0,1,0.0
1142,1,1,1,1,1,-0.6843577587219684,0,1,0.0
5568,1,1,1,1,1,-0.6843577587219684,0,1,0.0
6027,1,2,1,0,1,-0.6843577587219684,0,1,0.0
737,0,0,1,1,0,-0.6843577587219684,1,1,0.0
1290,1,2,1,1,1,-0.6843577587219684,1,1,0.0
2948,0,0,1,0,2,1.6344732516664067,0,0,0.08216432865731467
4359,0,0,0,1,2,0.36965633690911126,1,1,0.0
2223,1,1,0,1,1,-0.6843577587219684,0,1,0.0
4440,0,0,1,1,1,-0.6843577587219684,0,1,0.0
2714,0,2,0,1,1,-0.2627521204695365,1,0,0.002004008016032064
2899,0,0,1,0,2,0.36965633690911126,1,1,0.0
3069,0,1,1,1,1,2.0560788899188385,0,0,0.9358717434869748
1726,1,2,1,0,1,-0.6843577587219684,0,1,0.0
4146,0,0,1,1,0,2.899290166423702,1,0,0.9779559118236482
130,0,1,1,0,1,-0.4735549395957524,1,1,0.0
1778,0,1,1,1,1,-0.2627521204695365,0,1,0.0
3154,0,2,1,1,2,0.5804591560353272,1,0,0.24048096192384788
1995,1,0,0,1,0,-0.4735549395957524,1,1,0.0
527,0,2,0,0,0,-0.2627521204695365,1,1,0.0
4284,1,0,1,0,1,-0.6843577587219684,0,1,0.0
5775,1,1,1,1,1,-0.6843577587219684,0,1,0.0
4725,0,0,0,1,1,-0.6843577587219684,1,1,0.0
1855,0,0,1,1,0,0.15885351778289533,0,0,0.002004008016032064
3150,1,1,0,0,1,-0.05194930134332058,0,1,0.0
733,0,2,1,1,1,-0.4735549395957524,1,0,0.002004008016032064
3412,1,0,0,1,1,-0.6843577587219684,0,1,0.0
2672,1,0,0,1,1,0.5804591560353272,1,1,0.0
2601,1,1,0,1,1,-0.6843577587219684,0,1,0.0
1941,0,2,0,1,2,-0.4735549395957524,1,1,0.0
1843,0,0,0,1,2,0.36965633690911126,1,1,0.0
2270,0,2,1,1,1,-0.6843577587219684,0,1,0.0
2382,1,1,1,1,1,-0.6843577587219684,1,1,0.0
620,0,2,1,1,0,0.5804591560353272,1,0,0.48496993987975995
4911,0,0,0,1,1,-0.05194930134332058,0,1,0.0
1122,1,2,0,0,1,-0.4735549395957524,0,1,0.0
3672,0,1,1,0,1,0.5804591560353272,0,0,0.002004008016032064
2009,0,0,1,1,1,-0.4735549395957524,0,1,0.0
5624,1,1,1,0,1,-0.2627521204695365,1,1,0.0
4621,1,0,1,1,1,-0.05194930134332058,0,1,0.0
3657,1,2,1,0,1,-0.2627521204695365,0,1,0.0
2694,1,0,0,1,1,-0.2627521204695365,0,1,0.0
6081,0,0,1,0,0,0.36965633690911126,0,1,0.0
5073,1,0,0,1,1,-0.6843577587219684,0,1,0.0
4590,1,2,1,1,2,-0.6843577587219684,1,1,0.0
263,0,2,1,1,0,1.2128676134139749,1,0,0.913827655310622
528,1,0,1,1,1,-0.4735549395957524,0,1,0.0
1001,0,0,1,0,1,0.5804591560353272,1,1,0.0
5640,1,0,0,1,1,-0.4735549395957524,0,1,0.0
4282,0,0,1,1,1,-0.6843577587219684,0,1,0.0
684,0,0,1,1,1,-0.6843577587219684,0,1,0.0
2972,0,1,0,1,1,0.7912619751615431,0,0,0.08216432865731467
4963,0,1,0,1,1,-0.4735549395957524,0,1,0.0
5082,1,2,1,0,1,-0.6843577587219684,1,1,0.0
4519,0,0,1,1,1,0.5804591560353272,1,0,0.002004008016032064
533,0,0,0,1,2,-0.05194930134332058,1,1,0.0
5040,1,0,1,0,2,-0.4735549395957524,1,1,0.0
5460,0,0,1,0,2,-0.6843577587219684,1,1,0.0
3990,0,0,0,1,1,0.15885351778289533,1,1,0.0
2178,0,2,1,0,0,-0.6843577587219684,1,1,0.0
5271,0,1,1,1,1,1.002064794287759,1,0,0.3446893787575153
1977,0,2,1,1,1,-0.4735549395957524,0,0,0.002004008016032064
5748,1,0,1,1,1,-0.2627521204695365,0,1,0.0
1083,0,1,1,1,1,-0.4735549395957524,0,1,0.0
2616,0,0,1,1,1,-0.6843577587219684,0,1,0.0
5422,1,0,1,1,1,-0.6843577587219684,0,1,0.0
3389,0,0,0,1,0,2.899290166423702,1,0,0.9619238476953916
3074,0,2,1,1,1,-0.4735549395957524,1,0,0.002004008016032064
4310,1,2,1,1,2,-0.6843577587219684,1,1,0.0
2841,0,0,1,1,2,0.36965633690911126,1,1,0.0
1702,0,2,1,1,2,-0.4735549395957524,0,1,0.0
3151,1,1,1,1,1,-0.4735549395957524,0,1,0.0
5292,0,0,1,1,1,-0.2627521204695365,0,1,0.0
4203,0,0,1,0,2,1.002064794287759,1,1,0.002004008016032064
2329,0,1,0,1,1,1.4236704325401908,0,0,0.4048096192384773
3149,0,0,0,1,1,-0.6843577587219684,0,1,0.0
4083,0,0,1,0,0,2.0560788899188385,0,0,0.6933867735470948
3823,0,2,1,1,0,-0.2627521204695365,0,0,0.002004008016032064
4721,0,0,0,1,0,2.688487347297486,1,0,0.9478957915831672
1460,0,0,1,1,2,1.2128676134139749,0,0,0.1803607214428859
206,0,0,0,1,1,-0.6843577587219684,1,1,0.0
462,0,1,0,1,2,-0.2627521204695365,1,1,0.0
5489,1,0,1,1,0,1.6344732516664067,0,0,0.3446893787575153
1568,1,0,1,1,1,-0.6843577587219684,1,1,0.0
5167,0,2,1,1,1,-0.6843577587219684,0,1,0.0
2118,0,0,0,1,1,-0.6843577587219684,0,1,0.0
2193,0,0,1,0,2,2.0560788899188385,0,0,0.31262525050100226
842,1,0,1,1,1,-0.6843577587219684,0,1,0.0
4390,0,0,1,1,1,-0.2627521204695365,1,1,0.0
949,1,0,1,1,2,0.15885351778289533,1,1,0.0
2211,0,0,0,1,1,-0.6843577587219684,0,1,0.0
2244,1,0,0,1,1,0.15885351778289533,0,1,0.0
394,0,2,1,0,0,0.5804591560353272,1,0,0.18236472945891796
2115,1,0,1,1,2,-0.4735549395957524,0,1,0.0
1014,0,0,1,0,1,-0.4735549395957524,0,1,0.0
2259,1,0,0,1,1,-0.2627521204695365,0,1,0.0
1718,0,0,0,1,1,-0.4735549395957524,0,1,0.0
3053,0,2,1,1,1,-0.4735549395957524,1,0,0.002004008016032064
2868,0,1,0,0,1,-0.2627521204695365,0,1,0.0
4917,1,0,1,1,1,-0.6843577587219684,1,1,0.0
4571,0,1,1,0,1,-0.4735549395957524,1,1,0.0
4276,0,0,1,1,1,-0.6843577587219684,0,1,0.0
4105,0,2,1,1,0,-0.05194930134332058,0,0,0.13026052104208424
2943,1,2,1,1,1,-0.6843577587219684,0,1,0.0
2505,0,0,0,1,0,1.2128676134139749,1,0,0.2565130260521044
